arm,step,critic/score/mean,critic/score/max,val/test_score/game24,response_length/mean,actor/kl_loss,actor/entropy_loss
"shaped [shaped, n4]",86,0.586,1.0,,201.438,0.167,0.011
"shaped [shaped, n4]",87,0.572,1.0,,204.828,0.019,0.011
"shaped [shaped, n4]",88,0.585,1.0,,203.719,0.144,0.01
"staged-p1 [shaped, n4]",0,,,0.417,,,
"staged-p1 [shaped, n4]",1,0.567,1.0,,203.156,0.0,0.021
"staged-p1 [shaped, n4]",2,0.48,1.0,,199.828,0.0,0.02
"staged-p1 [shaped, n4]",3,0.533,1.0,,189.312,0.0,0.019
"staged-p1 [shaped, n4]",4,0.497,1.0,,197.562,0.002,0.019
"staged-p1 [shaped, n4]",5,0.514,1.0,,202.875,0.007,0.02
"staged-p1 [shaped, n4]",6,0.519,1.0,,192.953,0.002,0.018
"staged-p1 [shaped, n4]",7,0.602,1.0,,192.078,0.004,0.015
"staged-p1 [shaped, n4]",8,0.552,1.0,,196.578,0.005,0.016
"staged-p1 [shaped, n4]",9,0.516,1.0,,199.688,0.004,0.017
"staged-p1 [shaped, n4]",10,0.575,1.0,,189.828,0.007,0.014
"staged-p1 [shaped, n4]",11,0.589,1.0,,201.0,0.006,0.014
"staged-p1 [shaped, n4]",12,0.485,1.0,,198.859,0.007,0.015
"staged-p1 [shaped, n4]",13,0.563,1.0,,200.094,0.02,0.016
"staged-p1 [shaped, n4]",14,0.538,1.0,,198.625,0.015,0.014
"staged-p1 [shaped, n4]",15,0.596,1.0,,197.422,0.013,0.012
"staged-p1 [shaped, n4]",16,0.614,1.0,,195.281,0.008,0.012
"staged-p1 [shaped, n4]",17,0.595,1.0,,199.141,0.009,0.013
"staged-p1 [shaped, n4]",18,0.529,1.0,,195.219,0.008,0.014
"staged-p1 [shaped, n4]",19,0.568,1.0,,197.891,0.02,0.012
"staged-p1 [shaped, n4]",20,0.583,1.0,0.518,194.734,0.003,0.012
"staged-p1 [shaped, n4]",21,0.608,1.0,,195.5,0.01,0.018
"staged-p1 [shaped, n4]",22,0.572,1.0,,202.547,0.016,0.012
"staged-p1 [shaped, n4]",23,0.538,1.0,,196.641,0.016,0.016
"staged-p1 [shaped, n4]",24,0.58,1.0,,195.844,0.02,0.014
"staged-p1 [shaped, n4]",25,0.597,1.0,,199.531,0.003,0.012
"staged-p1 [shaped, n4]",26,0.572,1.0,,198.875,0.016,0.014
"staged-p1 [shaped, n4]",27,0.67,1.0,,187.25,0.033,0.012
"staged-p1 [shaped, n4]",28,0.571,1.0,,190.156,0.016,0.013
"staged-p1 [shaped, n4]",29,0.551,1.0,,196.125,0.041,0.017
"staged-p1 [shaped, n4]",30,0.583,1.0,,193.719,0.01,0.011
"staged-p1 [shaped, n4]",31,0.557,1.0,,197.75,0.023,0.011
"staged-p1 [shaped, n4]",32,0.572,1.0,,201.234,0.033,0.011
"staged-p1 [shaped, n4]",33,0.614,1.0,,197.0,0.03,0.014
"staged-p1 [shaped, n4]",34,0.54,1.0,,201.922,0.013,0.012
"staged-p1 [shaped, n4]",35,0.571,1.0,,192.922,0.018,0.012
"staged-p1 [shaped, n4]",36,0.611,1.0,,191.609,0.011,0.011
"staged-p1 [shaped, n4]",37,0.573,1.0,,203.625,0.04,0.011
"staged-p1 [shaped, n4]",38,0.599,1.0,,200.859,0.028,0.009
